step,train_reward,train_improvement,train_baseline,train_post,train_tokens,policy_entropy,greedy_reward,greedy_improvement,greedy_tokens,best_reference_reward,best_reference_improvement,best_reference_tokens,best_reference_action,greedy_action
1,3.909432817880027,0.06771932817880026,0.03539925894361446,0.10311858712241473,47.708333333333336,4.2766661190160535,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
2,4.501736956866559,0.07204236956866558,0.031606529472916235,0.10364889904158181,45.041666666666664,4.257615183279969,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
3,5.817646498655802,0.08927646498655802,0.046246956395660954,0.13552342138221898,51.833333333333336,4.242559173049262,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
4,4.8919779230694305,0.07911977923069431,0.036714593818902456,0.11583437304959676,50.333333333333336,4.2040387822183725,7.2953716235568296,0.11135371623556829,64,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:quiz
5,5.094235679622385,0.07976735679622385,0.030586107088835954,0.1103534638850598,48.041666666666664,4.167333039708917,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:60:noquiz
6,4.396440676543881,0.0743894067654388,0.02962745358104148,0.10401686034648028,50.708333333333336,4.102153194605709,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:60:noquiz
7,5.549439332243456,0.08776939332243457,0.039048727768384764,0.12681812109081933,53.791666666666664,3.9807392743114307,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:60:noquiz
8,6.272512970888261,0.09005012970888261,0.034524717711405827,0.12457484742028845,45.541666666666664,3.735287145109495,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:60:noquiz
9,6.6606112528067705,0.09558111252806771,0.04377064523373037,0.1393517577617981,48.291666666666664,3.2940941654894735,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
10,6.526614275416551,0.09359114275416552,0.034986781371571,0.12857792412573651,47.208333333333336,2.2652945666185262,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
11,7.9217492188307395,0.10741749218830739,0.04454603684325419,0.1519635290315616,47.0,0.8542031086198316,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
12,7.924349927569048,0.10719349927569048,0.03055338015488228,0.13774687943057276,46.583333333333336,0.8542031086198316,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
13,8.082880231837404,0.10900380231837405,0.036416638668506265,0.1454204409868803,46.958333333333336,0.6976449597660637,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
14,7.826331956390017,0.10646331956390016,0.03672433706673702,0.14318765663063718,47.0,0.4328112002336123,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
15,7.663662295466793,0.10456162295466792,0.034803775094678115,0.13936539804934603,46.541666666666664,0.43281120023361286,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
16,7.92135047911113,0.10753850479111131,0.04201095420101633,0.14954945899212765,47.208333333333336,0.2740036125210664,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
17,7.958654766175974,0.10778654766175975,0.037031118069069155,0.1448176657308289,47.0,0.1643684556725358,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
18,7.412577344387913,0.10225077344387913,0.03359015214174698,0.1358409255856261,46.875,0.17996053246575622,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
19,7.654468967528213,0.10446968967528213,0.03938316487688524,0.14385285455216737,46.541666666666664,0.10296529700987402,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
20,7.7860098344086595,0.1060600983440866,0.028932793315374447,0.13499289165946105,47.0,0.0490298288067188,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
21,7.345677192232148,0.10165677192232148,0.026972266236639505,0.12862903815896098,47.0,0.049029828806718724,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
22,7.641764877287947,0.10461764877287948,0.027764974975754184,0.13238262374863366,47.0,0.04902982880671871,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
23,7.986614958278206,0.10806614958278206,0.035991524015785085,0.14405767359856714,47.0,0.049029828806718634,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
24,7.939525996851724,0.10759525996851725,0.03827748521883896,0.1458727451873562,47.0,0.049029828806718634,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
25,7.886910748178941,0.10721910748178942,0.03864602675184746,0.14586513423363687,47.25,0.04902982880671871,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
26,8.149224720902852,0.10969224720902852,0.037087297178786754,0.1467795443878153,47.0,0.04124692679541385,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
27,8.212804297603308,0.11032804297603306,0.0407323065748744,0.15106034955090747,47.0,0.04124692679541385,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
28,7.723601130872591,0.10543601130872592,0.02869872050732386,0.13413473181604976,47.0,0.04124692679541374,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
29,7.723877875371254,0.10543877875371253,0.03397328259063202,0.13941206134434456,47.0,0.04124692679541362,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
30,8.039684297104118,0.10859684297104118,0.035658509541056926,0.14425535251209812,47.0,0.041246926795413544,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
31,7.944326901005372,0.10764326901005372,0.03652694399180978,0.1441702130018635,47.0,0.041246926795413544,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
32,7.798930437111903,0.10618930437111902,0.03423987649836488,0.14042918086948392,47.0,0.041246926795413676,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
33,7.740310769973966,0.10560310769973967,0.033528449054322076,0.13913155675406175,47.0,0.041246926795413606,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
34,7.849342736737888,0.10669342736737887,0.03114709122539897,0.13784051859277785,47.0,0.04124692679541362,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
35,7.721767618183018,0.10541767618183018,0.03462375872205616,0.14004143490388635,47.0,0.0412469267954135,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
36,7.873252435685868,0.10693252435685868,0.030511730071100886,0.13744425442795957,47.0,0.041246926795413454,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
37,7.77989623607199,0.10599896236071991,0.03831353158378586,0.14431249394450577,47.0,0.04124692679541345,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
38,8.2807765543836,0.111007765543836,0.04262238933157386,0.15363015487540985,47.0,0.04124692679541362,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
39,7.459076420792179,0.10279076420792178,0.030152554660269237,0.13294331886819102,47.0,0.041246926795413634,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
40,8.053999432722597,0.10873999432722596,0.03532206365109684,0.1440620579783228,47.0,0.041246926795413634,7.749359914208227,0.10569359914208226,47,7.741056999271309,0.10561056999271308,47,place_values:rule:60:noquiz,place_values:rule:92:noquiz
